Date,TimeSeries,Site,Plot,Transect,Coral,Dist_X,Dist_Y,Species,Width,Width_2,Height,Original_M,Disease_M,Other_M,Live,Bleach
1/22/2018,0,Boot Key,1,1,1,0.4,0.1,SSID,11,7,4,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,2,0.6,0.15,SSID,11,8,4,5,0,0,95,0
1/22/2018,0,Boot Key,1,1,3,0.75,0.15,CNAT,36,27,15,3,0,0,97,0
1/22/2018,0,Boot Key,1,1,4,0.95,0.15,PSTR,25,18,6,5,0,0,95,0
1/22/2018,0,Boot Key,1,1,5,0.4,0.3,PSTR,19,19,8,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,6,0.55,0.5,PSTR,35,35,6,3,0,0,97,0
1/22/2018,0,Boot Key,1,1,7,0.5,0.65,CNAT,30,25,12,20,0,0,80,0
1/22/2018,0,Boot Key,1,1,8.1,-0.05,0.65,CNAT,25,37,15,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,8.2,-0.3,0.7,CNAT,45,30,15,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,8.3,-0.2,0.5,CNAT,25,15,15,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,9,0.15,0.5,SSID,14,8,6,35,0,0,65,0
1/22/2018,0,Boot Key,1,1,10,0.1,0.7,SSID,17,14,8,5,0,0,95,0
1/22/2018,0,Boot Key,1,1,11,0.3,0.95,SINT,14,8,4,40,0,0,60,0
1/22/2018,0,Boot Key,1,1,12,0.35,0.95,PAST,11,8,4,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,13,0,0.7,CNAT,17,18,4,50,0,0,50,0
1/22/2018,0,Boot Key,1,1,14,0.4,1.25,MCAV,25,16,8,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,15,0.5,1.4,CNAT,50,42,17,2,0,0,98,0
1/22/2018,0,Boot Key,1,1,16,0.8,1.4,SSID,13,9,4,3,0,0,97,0
1/22/2018,0,Boot Key,1,1,17,0.9,1.4,SINT,17,7,6,25,0,0,75,0
1/22/2018,0,Boot Key,1,1,18,0.1,1.75,SSID,18,16,6,2,0,0,98,0
1/22/2018,0,Boot Key,1,1,19,0.2,1.85,SSID,16,15,9,60,0,0,40,0
1/22/2018,0,Boot Key,1,1,20,0.5,1.65,SSID,12,8,5,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,21,0.8,1.65,PSTR,22,20,5,2,0,0,98,0
1/22/2018,0,Boot Key,1,1,22,0.5,1.75,EFAS,11,8,5,5,0,0,95,0
1/22/2018,0,Boot Key,1,1,23,0.5,1.85,CNAT,18,12,8,10,0,0,90,0
1/22/2018,0,Boot Key,1,1,24,0.5,1.9,SSID,13,4,4,10,0,0,90,0
1/22/2018,0,Boot Key,1,1,25,0.8,1.95,SINT,28,18,10,8,0,0,92,0
1/22/2018,0,Boot Key,1,1,26,0.9,1.85,SSID,18,13,8,45,0,0,55,0
1/22/2018,0,Boot Key,1,1,27,0,1.65,CNAT,45,20,15,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,28,0.11,1.3,SSID,13,7,6,40,0,0,60,0
1/22/2018,0,Boot Key,1,1,29,0.5,2,SSID,13,7,6,15,0,0,85,0
1/22/2018,0,Boot Key,1,1,30,0.65,2.1,CNAT,48,45,15,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,31,0.9,2.15,PSTR,48,35,15,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,32,0.5,2.25,CNAT,42,13,15,3,0,0,97,0
1/22/2018,0,Boot Key,1,1,33,0.55,2.45,CNAT,37,30,18,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,34,0.3,2.5,CNAT,28,24,12,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,35,0.2,2.6,SSID,11,7,3,2,0,0,98,0
1/22/2018,0,Boot Key,1,1,36,0.5,3,OFAV,80,60,50,15,0,0,85,0
1/22/2018,0,Boot Key,1,1,37,0,2.8,CNAT,42,28,8,0,0,10,90,0
1/22/2018,0,Boot Key,1,1,38,0,2.05,SSID,16,14,6,20,0,0,80,0
1/22/2018,0,Boot Key,1,1,39,0,2.15,SSID,13,10,7,15,0,0,85,0
1/22/2018,0,Boot Key,1,1,40,0.35,3.1,SSID,15,12,6,20,0,0,80,0
1/22/2018,0,Boot Key,1,1,41,0.6,3.25,SINT,18,12,5,5,0,0,95,0
1/22/2018,0,Boot Key,1,1,42,0.6,3.35,SSID,13,11,3,2,0,0,98,0
1/22/2018,0,Boot Key,1,1,43,0.35,3.7,SINT,13,10,4,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,44,0.1,3.8,CNAT,40,40,15,3,0,0,97,0
1/22/2018,0,Boot Key,1,1,45,0.05,4.1,CNAT,33,25,15,2,0,0,98,0
1/22/2018,0,Boot Key,1,1,46,0.3,4.2,SSID,40,35,23,8,0,0,92,0
1/22/2018,0,Boot Key,1,1,47,0,4.25,SSID,12,12,5,2,0,0,98,0
1/22/2018,0,Boot Key,1,1,48,0.2,4.2,SSID,11,11,0,0,0,0,100,0
1/22/2018,0,Boot Key,1,1,49,0,4.35,SSID,30,25,8,2,0,0,98,0
1/22/2018,0,Boot Key,1,1,50,0,4.3,SINT,12,8,5,5,0,0,95,0
1/22/2018,0,Boot Key,1,1,51,0,4.4,SINT,15,10,8,10,0,0,90,0
1/22/2018,0,Boot Key,1,1,52,0.5,4.8,MCAV,145,90,100,90,0,0,10,0
1/22/2018,0,Boot Key,1,1,53,0.7,4.8,PAST,38,24,12,55,0,0,45,0
1/22/2018,0,Boot Key,1,1,54,0.45,5,PAST,30,25,5,45,0,0,55,0
1/22/2018,0,Boot Key,1,1,55,0.1,4.95,PSTR,25,22,10,0,0,0,100,0
