Site,Plot,Transect,Section_short,Coral_num,Sps,Max_width,Coral_ID,coords_x,coords_y,New_death_051018,Old_death_051018,Health_state_051018,Notes_051018,Found_051018,SCTLD_051018,Treated_051018,New_death_060118,Health_state_060118,Notes_060118,Found_060118,SCTLD_060118,Treated_060118,New_death_062118,Health_state_062118,Notes_062118,Found_062118,SCTLD_062118,Treated_062118,New_death_071618,Health_state_071618,Notes_071618,Found_071618,SCTLD_071618,Treated_071618,New_death__081718,Old_death_081718,Health_state_081718,Notes_081718,Found_081718,SCTLD_081718,Treated_081718,New_death_103018,Health_state_103018,Notes_103018,Found_103018,SCTLD_103018,Treated_103018,New_death_110918,Health_state_110918,Notes_110918,Found_110918,SCTLD_110918,Treated_110918,New_death_112918,Health_state_112918,Notes_112918,Found_112918,SCTLD_112918,Treated_112918,New_death_121318,Health_state_121318,Notes_121318,Found_121318,SCTLD_121318,Treated_121318,New_death_010419,Health_state_010419,Notes_010419,Found_010419,SCTLD_010419,Treated_010419,New_death_011819,Health_state_011819,Notes_011819,Found_011819,SCTLD_011819,Treated_011819,New_death_020819,Health_state_020819,Notes_020819,Found_020819,SCTLD_020819,Treated_020819,New_death_030419,Health_state_030419,Notes_030419,Found_030419,SCTLD_030419,Treated_030419,New_death_032119,Health_state_032119,Notes_032119,Found_032119,SCTLD_032119,Treated_032119,New_death_041119,Health_state_041119,Notes_041119,Found_041119,SCTLD_041119,Treated_041119,New_death_050219,Health_state_050219,Notes_050219,Found_050219,SCTLD_050219,Treated_050219,New_death_051619,Health_state_051619,Notes_051619,Found_051619,SCTLD_051619,Treated_051619,New_death_052819,Health_state_052819,Notes_052819,Found_052819,SCTLD_052819,Treated_052819,New_death_061319,Health_state_061319,Notes_061319,Found_061319,SCTLD_061319,Treated_061319
1,23,1,0-5,1,DLAB,11,1_p23_t1_s0_c1_DLAB,0.448071,0.236131182,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,0-5,2,SINT,22,1_p23_t1_s0_c2_SINT,0.789318,0.479035443,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,0-5,3,SSID,25,1_p23_t1_s0_c3_SSID,0.833828,0.627899794,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
1,23,1,0-5,4,PPOR,11,1_p23_t1_s0_c4_PPOR,0.225519,1.926753665,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,2,0,0,FB,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,0-5,5,DSTO,18,1_p23_t1_s0_c5_DSTO,0.462908,2.225033921,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,Pale,1,Healthy,NA,0,5,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,1,0,Spotty,1,Healthy,NA,0,0,Spotty but no RM,1,Healthy,NA,5,1,SCTLD,1,SCTLD,NA,10,1,SCTLD,1,SCTLD,NA,20,1,SCTLD,1,SCTLD,NA,35,1,SCTLD,1,SCTLD,NA,55,1,SCTLD,1,SCTLD,NA,70,1,SCTLD,1,SCTLD,NA,100,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA
1,23,1,0-5,6,CNAT,11,1_p23_t1_s0_c6_CNAT,0.151335,2.205288297,0,75,0,75% om,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,100,0,NF?,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,0,,1,Healthy,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA
1,23,1,5-10,1,PAST,11,1_p23_t1_s5_c1_PAST,0.626113,5.6828897,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,5-10,2,SINT,16,1_p23_t1_s5_c2_SINT,0.31454,5.997716568,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,5-10,3,PAST,10,1_p23_t1_s5_c3_PAST,0.566766,5.980066848,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,5-10,4,DSTO,8,1_p23_t1_s5_c4_DSTO,0.418398,6.14680154,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,NF,1,NF,0,Unknown,NA,NF,1,NF,0,Dead,NA,NF,1,NF,0,Dead,NA
